"","ensembl_gene_id","external_gene_name","gene_biotype"
"68","PBANKA_000165","PBANKA_000165 ","pseudogene"
"69","PBANKA_000570","PBANKA_000570 BIR protein","protein_coding"
"70","PBANKA_000580","PBANKA_000580 BIR protein","protein_coding"
"71","PBANKA_000590","PBANKA_000590 ","pseudogene"
"72","PBANKA_000600","PBANKA_000600 BIR protein","protein_coding"
"73","PBANKA_000770","PBANKA_000770 ","pseudogene"
"74","PBANKA_000750","PBANKA_000750 ","pseudogene"
"75","PBANKA_000935","PBANKA_000935 ","pseudogene"
"76","PBANKA_000020","PBANKA_000020 ","pseudogene"
"77","PBANKA_000030","PBANKA_000030 BIR protein","protein_coding"
"78","PBANKA_000110","PBANKA_000110 fam-b protein","protein_coding"
"79","PBANKA_000120","PBANKA_000120 ","pseudogene"
"80","PBANKA_000130","PBANKA_000130 BIR protein","protein_coding"
"81","PBANKA_000140","PBANKA_000140 ","pseudogene"
"82","PBANKA_000250","PBANKA_000250 BIR protein","protein_coding"
"83","PBANKA_000260","PBANKA_000260 BIR protein","protein_coding"
"84","PBANKA_000810","PBANKA_000810 ","pseudogene"
"85","PBANKA_000378","PBANKA_000378 fam-b protein","protein_coding"
"86","PBANKA_000380","PBANKA_000380 BIR protein","protein_coding"
"87","PBANKA_000390","PBANKA_000390 BIR protein","protein_coding"
"88","PBANKA_000400","PBANKA_000400 fam-b protein","protein_coding"
"89","PBANKA_000890","PBANKA_000890 ","pseudogene"
"90","PBANKA_000670","PBANKA_000670 ","pseudogene"
"91","PBANKA_000530","PBANKA_000530 BIR protein","protein_coding"
"92","PBANKA_000540","PBANKA_000540 BIR protein","protein_coding"
"93","PBANKA_000550","PBANKA_000550 fam-b protein","protein_coding"
"94","PBANKA_000560","PBANKA_000560 ","pseudogene"
"95","PBANKA_000210","PBANKA_000210 BIR protein","protein_coding"
"96","PBANKA_000410","PBANKA_000410 BIR protein","protein_coding"
"97","PBANKA_000420","PBANKA_000420 BIR protein","protein_coding"
"98","PBANKA_000480","PBANKA_000480 BIR protein","protein_coding"
"99","PBANKA_000910","PBANKA_000910 ","pseudogene"
"100","PBANKA_000920","PBANKA_000920 ","pseudogene"
"101","PBANKA_000370","PBANKA_000370 conserved rodent malaria protein, unknown function","protein_coding"
"102","PBANKA_001000","PBANKA_001000 ","pseudogene"
"103","PBANKA_000050","PBANKA_000050 BIR protein","protein_coding"
"104","PBANKA_000060","PBANKA_000060 BIR protein","protein_coding"
"105","PBANKA_000310","PBANKA_000310 BIR protein","protein_coding"
"106","PBANKA_000320","PBANKA_000320 BIR protein","protein_coding"
"107","PBANKA_000330","PBANKA_000330 BIR protein","protein_coding"
"108","PBANKA_000340","PBANKA_000340 BIR protein","protein_coding"
"109","PBANKA_000350","PBANKA_000350 ","pseudogene"
"110","PBANKA_140010","PBANKA_140010 BIR protein","protein_coding"
"111","PBANKA_140020","PBANKA_140020 BIR protein","protein_coding"
"112","PBANKA_140030","PBANKA_140030 BIR protein","protein_coding"
"113","PBANKA_140040","PBANKA_140040 fam-b protein","protein_coding"
"114","PBANKA_140050","PBANKA_140050 ","pseudogene"
"115","PBANKA_140060","PBANKA_140060 cytoadherence linked asexual protein, putative","protein_coding"
"116","PBANKA_140070","PBANKA_140070 Plasmodium exported protein, unknown function","protein_coding"
"117","PBANKA_140080","PBANKA_140080 early transcribed membrane protein","protein_coding"
"118","PBANKA_140090","PBANKA_140090 conserved Plasmodium protein, unknown function","protein_coding"
"119","PBANKA_140100","PBANKA_140100 conserved Plasmodium protein, unknown function","protein_coding"
"120","PBANKA_140110","PBANKA_140110 deoxyhypusine hydroxylase, putative","protein_coding"
"121","PBANKA_140120","PBANKA_140120 DEAD/DEAH box ATP-dependent RNA helicase, putative","protein_coding"
"122","PBANKA_140130","PBANKA_140130 40S ribosomal protein S7, putative","protein_coding"
"123","PBANKA_140140","PBANKA_140140 conserved Plasmodium protein, unknown function","protein_coding"
"124","PBANKA_140150","PBANKA_140150 conserved Plasmodium protein, unknown function","protein_coding"
"125","PBANKA_140160","PBANKA_140160 methyltransferase-like protein, putative","protein_coding"
"126","PBANKA_140170","PBANKA_140170 SNARE protein, putative","protein_coding"
"127","PBANKA_140180","PBANKA_140180 conserved Plasmodium protein, unknown function","protein_coding"
"128","PBANKA_140190","PBANKA_140190 conserved Plasmodium protein, unknown function","protein_coding"
"129","PBANKA_140200","PBANKA_140200 sodium/hydrogen exchanger, Na+, H+ antiporter, putative","protein_coding"
"130","PBANKA_140210","PBANKA_140210 conserved Plasmodium protein, unknown function","protein_coding"
"131","PBANKA_140220","PBANKA_140220 conserved Plasmodium protein, unknown function","protein_coding"
"132","PBANKA_140230","PBANKA_140230 conserved Plasmodium protein, unknown function","protein_coding"
"133","PBANKA_140240","PBANKA_140240 conserved Plasmodium protein, unknown function","protein_coding"
"134","PBANKA_140250","PBANKA_140250 conserved Plasmodium protein, unknown function","protein_coding"
"135","PBANKA_140260","PBANKA_140260 DNA ligase I, putative","protein_coding"
"136","PBANKA_140270","PBANKA_140270 CorA-like Mg2+ transporter protein, putative","protein_coding"
"137","PBANKA_140280","PBANKA_140280 conserved Plasmodium protein, unknown function","protein_coding"
"138","PBANKA_140290","PBANKA_140290 conserved Plasmodium protein, unknown function","protein_coding"
"139","PBANKA_140300","PBANKA_140300 small heat shock protein, putative","protein_coding"
"140","PBANKA_140310","PBANKA_140310 conserved Plasmodium protein, unknown function","protein_coding"
"141","PBANKA_140320","PBANKA_140320 cyclin, putative","protein_coding"
"142","PBANKA_140325","PBANKA_140325 ","ncRNA"
"143","PBANKA_140330","PBANKA_140330 phosphatase, putative","protein_coding"
"144","PBANKA_140340","PBANKA_140340 DNA-directed RNA polymerase II, putative","protein_coding"
"145","PBANKA_140350","PBANKA_140350 conserved Plasmodium protein, unknown function","protein_coding"
"146","PBANKA_140360","PBANKA_140360 conserved Plasmodium protein, unknown function","protein_coding"
"147","PBANKA_140370","PBANKA_140370 transcription factor with AP2 domain(s), putative","protein_coding"
"148","PBANKA_140380","PBANKA_140380 conserved Plasmodium protein, unknown function","protein_coding"
"149","PBANKA_140390","PBANKA_140390 AAR2 protein, putative","protein_coding"
"150","PBANKA_140400","PBANKA_140400 mitogen-activated protein kinase phosphatase 1, putative","protein_coding"
"151","PBANKA_140410","PBANKA_140410 membrane integral peptidase, M50 family, putative","protein_coding"
"152","PBANKA_140420","PBANKA_140420 conserved Plasmodium protein, unknown function","protein_coding"
"153","PBANKA_140430","PBANKA_140430 conserved Plasmodium protein, unknown function","protein_coding"
"154","PBANKA_140440","PBANKA_140440 conserved Plasmodium protein, unknown function","protein_coding"
"155","PBANKA_140450","PBANKA_140450 conserved Plasmodium protein, unknown function","protein_coding"
"156","PBANKA_140460","PBANKA_140460 conserved Plasmodium protein, unknown function","protein_coding"
"157","PBANKA_140470","PBANKA_140470 conserved Plasmodium protein, unknown function","protein_coding"
"158","PBANKA_140480","PBANKA_140480 SAM dependent methyltransferase, putative","protein_coding"
"159","PBANKA_140490","PBANKA_140490 26S proteasome regulatory subunit, putative","protein_coding"
"160","PBANKA_140500","PBANKA_140500 conserved Plasmodium protein, unknown function","protein_coding"
"161","PBANKA_140510","PBANKA_140510 vacuolar ATP synthase subunit h, putative","protein_coding"
"162","PBANKA_140520","PBANKA_140520 conserved Plasmodium protein, unknown function","protein_coding"
"163","PBANKA_140530","PBANKA_140530 RED-like protein, putative","protein_coding"
"164","PBANKA_140540","PBANKA_140540 U1 small nuclear ribonucleoprotein a, putative","protein_coding"
"165","PBANKA_140550","PBANKA_140550 conserved Plasmodium protein, unknown function","protein_coding"
"166","PBANKA_140560","PBANKA_140560 U3 small nucleolar RNA-associated protein 6, putative","protein_coding"
"167","PBANKA_140570","PBANKA_140570 DnaJ protein, putative","protein_coding"
"168","PBANKA_140580","PBANKA_140580 DEAD box helicase, putative","protein_coding"
"169","PBANKA_140590","PBANKA_140590 conserved Plasmodium protein, unknown function","protein_coding"
"170","PBANKA_140600","PBANKA_140600 conserved Plasmodium protein, unknown function","protein_coding"
"171","PBANKA_140610","PBANKA_140610 DNA-directed RNA polymerase alpha chain, putative","protein_coding"
"172","PBANKA_140620","PBANKA_140620 conserved Plasmodium protein, unknown function","protein_coding"
"173","PBANKA_140630","PBANKA_140630 fork head domain protein, putative","protein_coding"
"174","PBANKA_140640","PBANKA_140640 tripartite motif protein, putative","protein_coding"
"175","PBANKA_140650","PBANKA_140650 conserved Plasmodium protein, unknown function","protein_coding"
"176","PBANKA_140660","PBANKA_140660 CCAAT-binding transcription factor, putative","protein_coding"
"177","PBANKA_140670","PBANKA_140670 carbamoyl phosphate synthetase, putative","protein_coding"
"178","PBANKA_140680","PBANKA_140680 40S ribosomal protein S27, putative","protein_coding"
"179","PBANKA_140690","PBANKA_140690 conserved Plasmodium protein, unknown function","protein_coding"
"180","PBANKA_140700","PBANKA_140700 conserved Plasmodium protein, unknown function","protein_coding"
"181","PBANKA_140710","PBANKA_140710 conserved Plasmodium protein, unknown function","protein_coding"
"182","PBANKA_140720","PBANKA_140720 conserved Plasmodium protein, unknown function","protein_coding"
"183","PBANKA_140730","PBANKA_140730 tyrosine recombinase, putative","protein_coding"
"184","PBANKA_140740","PBANKA_140740 mRNA-decapping enzyme 2, putative","protein_coding"
"185","PBANKA_140750","PBANKA_140750 conserved Plasmodium protein, unknown function","protein_coding"
"186","PBANKA_140760","PBANKA_140760 60S ribosomal protein L24, putative","protein_coding"
"187","PBANKA_140770","PBANKA_140770 protein phosphatase 2c-like protein, putative","protein_coding"
"188","PBANKA_140780","PBANKA_140780 U4/U6 small nuclear ribonucleoprotein PRP3, putative","protein_coding"
"189","PBANKA_140790","PBANKA_140790 HORMA domain protein, putative","protein_coding"
"190","PBANKA_140800","PBANKA_140800 pseudouridylase associated protein, putative","protein_coding"
"191","PBANKA_140810","PBANKA_140810 ribosomal RNA methyltransferase, putative","protein_coding"
"192","PBANKA_140820","PBANKA_140820 vacuolar protein sorting-associated protein 18, putative","protein_coding"
"193","PBANKA_140830","PBANKA_140830 conserved Plasmodium protein, unknown function","protein_coding"
"194","PBANKA_140840","PBANKA_140840 conserved Plasmodium protein, unknown function","protein_coding"
"195","PBANKA_140850","PBANKA_140850 mitochondrial ATP synthase delta subunit, putative","protein_coding"
"196","PBANKA_140860","PBANKA_140860 conserved Plasmodium protein, unknown function","protein_coding"
"197","PBANKA_140870","PBANKA_140870 conserved Plasmodium protein, unknown function","protein_coding"
"198","PBANKA_140880","PBANKA_140880 zinc finger protein, putative","protein_coding"
"199","PBANKA_140890","PBANKA_140890 conserved Plasmodium protein, unknown function","protein_coding"
"200","PBANKA_140900","PBANKA_140900 conserved protein, unknown function","protein_coding"
"201","PBANKA_140910","PBANKA_140910 ras-related protein Rab-5B, putative","protein_coding"
"202","PBANKA_140920","PBANKA_140920 conserved Plasmodium protein, unknown function","protein_coding"
"203","PBANKA_140930","PBANKA_140930 conserved Plasmodium protein, unknown function","protein_coding"
"204","PBANKA_140940","PBANKA_140940 mitochondrial ribosomal protein S15 precursor, putative","protein_coding"
"205","PBANKA_140950","PBANKA_140950 protein ISD11, putative","protein_coding"
"206","PBANKA_140960","PBANKA_140960 conserved Plasmodium protein, unknown function","protein_coding"
"207","PBANKA_140970","PBANKA_140970 alternative splicing regulator, putative","protein_coding"
"208","PBANKA_140980","PBANKA_140980 ATP synthase subunit gamma, mitochondrial, putative","protein_coding"
"209","PBANKA_140990","PBANKA_140990 AP-1 complex subunit mu, putative","protein_coding"
"210","PBANKA_141000","PBANKA_141000 26S proteasome regulatory subunit 7, putative","protein_coding"
"211","PBANKA_141010","PBANKA_141010 conserved Plasmodium protein, unknown function","protein_coding"
"212","PBANKA_141020","PBANKA_141020 cytochrome c2 precursor,putative","protein_coding"
"213","PBANKA_141030","PBANKA_141030 M1-family alanyl aminopeptidase, putative","protein_coding"
"214","PBANKA_141040","PBANKA_141040 vacuolar ATP synthase subunit a, putative","protein_coding"
"215","PBANKA_141050","PBANKA_141050 malonyl CoA-acyl carrier protein transacylase precursor, putative","protein_coding"
"216","PBANKA_141060","PBANKA_141060 conserved Plasmodium protein, unknown function","protein_coding"
"217","PBANKA_141070","PBANKA_141070 conserved Plasmodium protein, unknown function","protein_coding"
"218","PBANKA_141080","PBANKA_141080 mitochondrial ribosomal protein S35 precursor, putative","protein_coding"
"219","PBANKA_141090","PBANKA_141090 translation initiation factor IF-2, putative","protein_coding"
"220","PBANKA_141100","PBANKA_141100 conserved Plasmodium protein, unknown function","protein_coding"
"221","PBANKA_141110","PBANKA_141110 branched-chain alpha keto-acid dehydrogenase, putative","protein_coding"
"222","PBANKA_141120","PBANKA_141120 conserved Plasmodium protein, unknown function","protein_coding"
"223","PBANKA_141130","PBANKA_141130 eukaryotic translation initation factor 4 gamma, putative","protein_coding"
"224","PBANKA_141140","PBANKA_141140 ubiquitin-like protein nedd8 homologue, putative","protein_coding"
"225","PBANKA_141150","PBANKA_141150 conserved Plasmodium protein, unknown function","protein_coding"
"226","PBANKA_141160","PBANKA_141160 methionyl-tRNA formyltransferase, putative","protein_coding"
"227","PBANKA_141170","PBANKA_141170 peptidyl-prolyl cis-trans isomerase, putative","protein_coding"
"228","PBANKA_141180","PBANKA_141180 DEAD box helicase, putative","protein_coding"
"229","PBANKA_141190","PBANKA_141190 conserved Plasmodium protein, unknown function","protein_coding"
"230","PBANKA_141200","PBANKA_141200 conserved Plasmodium protein, unknown function","protein_coding"
"231","PBANKA_141210","PBANKA_141210 septum formation protein MAF homologue, putative","protein_coding"
"232","PBANKA_141220","PBANKA_141220 conserved Plasmodium protein, unknown function","protein_coding"
"233","PBANKA_141230","PBANKA_141230 conserved Plasmodium protein, unknown function","protein_coding"
"234","PBANKA_141240","PBANKA_141240 conserved Plasmodium protein, unknown function","protein_coding"
"235","PBANKA_141250","PBANKA_141250 conserved Plasmodium protein, unknown function","protein_coding"
"236","PBANKA_141260","PBANKA_141260 telomerase reverse transcriptase, putative, fragment","protein_coding"
"237","PBANKA_141270","PBANKA_141270 telomerase reverse transcriptase, putative, fragment","protein_coding"
"238","PBANKA_141280","PBANKA_141280 conserved Plasmodium protein, unknown function","protein_coding"
"239","PBANKA_141290","PBANKA_141290 conserved Plasmodium protein, unknown function","protein_coding"
"240","PBANKA_141300","PBANKA_141300 cop-coated vesicle membrane protein p24 precursor, putative","protein_coding"
"241","PBANKA_141310","PBANKA_141310 lipoate protein ligase a type 1","protein_coding"
"242","PBANKA_141320","PBANKA_141320 conserved Plasmodium protein, unknown function","protein_coding"
"243","PBANKA_141330","PBANKA_141330 ubiquitin-like protein, putative","protein_coding"
"244","PBANKA_141340","PBANKA_141340 TFIIH basal transcription factor subunit, putative","protein_coding"
"245","PBANKA_141350","PBANKA_141350 conserved Plasmodium protein, unknown function","protein_coding"
"246","PBANKA_141360","PBANKA_141360 serine/threonine protein kinase, putative","protein_coding"
"247","PBANKA_141370","PBANKA_141370 conserved Plasmodium protein, unknown function","protein_coding"
"248","PBANKA_141380","PBANKA_141380 conserved Plasmodium protein, unknown function","protein_coding"
"249","PBANKA_141390","PBANKA_141390 zinc finger (CCCH type) protein, putative","protein_coding"
"250","PBANKA_141400","PBANKA_141400 conserved Plasmodium protein, unknown function","protein_coding"
"251","PBANKA_141410","PBANKA_141410 phosphatidylinositol synthase, putative","protein_coding"
"252","PBANKA_141420","PBANKA_141420 tRNA (adenine(58)-N(1))-methyltransferase catalytic subunit TRM61, putative","protein_coding"
"253","PBANKA_141430","PBANKA_141430 Myb1 protein, putative","protein_coding"
"254","PBANKA_141440","PBANKA_141440 exportin-1, putative","protein_coding"
"255","PBANKA_141450","PBANKA_141450 protein kinase, putative","protein_coding"
"256","PBANKA_141460","PBANKA_141460 inositol polyphosphate kinase, putative","protein_coding"
"257","PBANKA_141470","PBANKA_141470 ADP-ribosylation factor, putative","protein_coding"
"258","PBANKA_141480","PBANKA_141480 conserved Plasmodium protein, unknown function","protein_coding"
"259","PBANKA_141490","PBANKA_141490 conserved Plasmodium protein, unknown function","protein_coding"
"260","PBANKA_141500","PBANKA_141500 conserved Plasmodium protein, unknown function","protein_coding"
"261","PBANKA_141510","PBANKA_141510 choline-phosphate cytidylyltransferase","protein_coding"
"262","PBANKA_141520","PBANKA_141520 conserved Plasmodium protein, unknown function","protein_coding"
"263","PBANKA_141530","PBANKA_141530 protein transport protein SEC20, putative","protein_coding"
"264","PBANKA_141540","PBANKA_141540 conserved Plasmodium protein, unknown function","protein_coding"
"265","PBANKA_141550","PBANKA_141550 U4/U6.U5 tri-snRNP-associated protein 2, putative","protein_coding"
"266","PBANKA_141560","PBANKA_141560 DNA replication licensing factor MCM4, putative","protein_coding"
"267","PBANKA_141570","PBANKA_141570 transcription factor with AP2 domain(s), putative","protein_coding"
"268","PBANKA_141580","PBANKA_141580 conserved Plasmodium protein, unknown function","protein_coding"
"269","PBANKA_141590","PBANKA_141590 conserved Plasmodium protein, unknown function","protein_coding"
"270","PBANKA_141600","PBANKA_141600 conserved Plasmodium protein, unknown function","protein_coding"
"271","PBANKA_141610","PBANKA_141610 conserved Plasmodium protein, unknown function","protein_coding"
"272","PBANKA_141620","PBANKA_141620 conserved Plasmodium protein, unknown function","protein_coding"
"273","PBANKA_141630","PBANKA_141630 40S ribosomal protein S15/S19, putative","protein_coding"
"274","PBANKA_141640","PBANKA_141640 conserved Plasmodium protein, unknown function","protein_coding"
"275","PBANKA_141650","PBANKA_141650 conserved Plasmodium protein, unknown function","protein_coding"
"276","PBANKA_141660","PBANKA_141660 ferredoxin, putative","protein_coding"
"277","PBANKA_141670","PBANKA_141670 glycerol-3-phosphate acyltransferase, putative","protein_coding"
"278","PBANKA_141680","PBANKA_141680 conserved Plasmodium protein, unknown function","protein_coding"
"279","PBANKA_141690","PBANKA_141690 chromosome segregation protein, putative","protein_coding"
"280","PBANKA_141700","PBANKA_141700 conserved Plasmodium protein, unknown function","protein_coding"
"281","PBANKA_141710","PBANKA_141710 conserved Plasmodium protein, unknown function","protein_coding"
"282","PBANKA_141720","PBANKA_141720 conserved Plasmodium protein, unknown function","protein_coding"
"283","PBANKA_141730","PBANKA_141730 translocation protein SEC63, putative","protein_coding"
"284","PBANKA_141740","PBANKA_141740 conserved Plasmodium protein, unknown function","protein_coding"
"285","PBANKA_141750","PBANKA_141750 conserved Plasmodium protein, unknown function","protein_coding"
"286","PBANKA_141760","PBANKA_141760 conserved protein, unknown function","protein_coding"
"287","PBANKA_141770","PBANKA_141770 conserved Plasmodium protein, unknown function","protein_coding"
"288","PBANKA_141780","PBANKA_141780 N2,N2-dimethylguanosine tRNA methyltransferase, putative","protein_coding"
"289","PBANKA_141790","PBANKA_141790 conserved Plasmodium protein, unknown function","protein_coding"
"290","PBANKA_141800","PBANKA_141800 conserved Plasmodium protein, unknown function","protein_coding"
"291","PBANKA_141810","PBANKA_141810 conserved Plasmodium protein, unknown function","protein_coding"
"292","PBANKA_141820","PBANKA_141820 conserved Plasmodium protein, unknown function","protein_coding"
"293","PBANKA_141830","PBANKA_141830 rhoptry protein 2, putative","protein_coding"
"294","PBANKA_141840","PBANKA_141840 ATP-dependent Clp protease adaptor protein ClpS, putative","protein_coding"
"295","PBANKA_141850","PBANKA_141850 TBC domain protein, putative","protein_coding"
"296","PBANKA_141860","PBANKA_141860 conserved Plasmodium protein, unknown function","protein_coding"
"297","PBANKA_141870","PBANKA_141870 microsomal signal peptidase, putative","protein_coding"
"298","PBANKA_141880","PBANKA_141880 SNARE protein, putative","protein_coding"
"299","PBANKA_141890","PBANKA_141890 ras-related protein Rab-11A","protein_coding"
"300","PBANKA_141900","PBANKA_141900 conserved Plasmodium protein, unknown function","protein_coding"
"301","PBANKA_141910","PBANKA_141910 dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, putative","protein_coding"
"302","PBANKA_141920","PBANKA_141920 RNA-binding protein, putative","protein_coding"
"303","PBANKA_141930","PBANKA_141930 conserved Plasmodium protein, unknown function","protein_coding"
"304","PBANKA_141940","PBANKA_141940 conserved Plasmodium protein, unknown function","protein_coding"
"305","PBANKA_141950","PBANKA_141950 conserved protein, unknown function","protein_coding"
"306","PBANKA_141960","PBANKA_141960 conserved Plasmodium protein, unknown function","protein_coding"
"307","PBANKA_141970","PBANKA_141970 palmitoyltransferase, putative","protein_coding"
"308","PBANKA_141980","PBANKA_141980 3',5'-cyclic nucleotide phosphodiesterase, putative","protein_coding"
"309","PBANKA_141990","PBANKA_141990 phosphodiesterase gamma","protein_coding"
"310","PBANKA_142000","PBANKA_142000 conserved Plasmodium protein, unknown function","protein_coding"
"311","PBANKA_142010","PBANKA_142010 conserved Plasmodium protein, unknown function","protein_coding"
"312","PBANKA_142020","PBANKA_142020 mitochondrial ribosomal protein S5 precursor, putative","protein_coding"
"313","PBANKA_142030","PBANKA_142030 conserved Plasmodium protein, unknown function","protein_coding"
"314","PBANKA_142040","PBANKA_142040 conserved Plasmodium protein, unknown function","protein_coding"
"315","PBANKA_142050","PBANKA_142050 conserved Plasmodium protein, unknown function","protein_coding"
"316","PBANKA_142060","PBANKA_142060 histone H2B variant, putative","protein_coding"
"317","PBANKA_142070","PBANKA_142070 conserved Plasmodium protein, unknown function","protein_coding"
"318","PBANKA_142080","PBANKA_142080 conserved Plasmodium protein, unknown function","protein_coding"
"319","PBANKA_142090","PBANKA_142090 palmitoyltransferase, putative","protein_coding"
"320","PBANKA_142100","PBANKA_142100 calmodulin, putative","protein_coding"
"321","PBANKA_142110","PBANKA_142110 transcription elongation factor s-II, putative","protein_coding"
"322","PBANKA_142120","PBANKA_142120 conserved Plasmodium protein, unknown function","protein_coding"
"323","berg14:tRNA:rfamscan:796075-796146","berg14:tRNA:rfamscan:796075-796146 ","tRNA"
"324","berg14:tRNA:rfamscan:796934-797013","berg14:tRNA:rfamscan:796934-797013 ","tRNA"
"325","berg14:tRNA:rfamscan:797666-797747","berg14:tRNA:rfamscan:797666-797747 ","tRNA"
"326","PBANKA_142130","PBANKA_142130 4-nitrophenylphosphatase, putative","protein_coding"
"327","PBANKA_142140","PBANKA_142140 conserved Plasmodium protein, unknown function","protein_coding"
"328","PBANKA_142150","PBANKA_142150 conserved Plasmodium protein, unknown function","protein_coding"
"329","PBANKA_142160","PBANKA_142160 calcium/calmodulin-dependent protein kinase, putative","protein_coding"
"330","PBANKA_142170","PBANKA_142170 secreted ookinete protein, putative","protein_coding"
"331","PBANKA_142180","PBANKA_142180 mitochondrial ATP synthase F1, epsilon subunit, putative","protein_coding"
"332","PBANKA_142190","PBANKA_142190 GTP-binding translation elongation factor, putative","protein_coding"
"333","PBANKA_142200","PBANKA_142200 conserved Plasmodium protein, unknown function","protein_coding"
"334","PBANKA_142210","PBANKA_142210 drug metabolite transporter, putative","protein_coding"
"335","PBANKA_142220","PBANKA_142220 zinc transporter, putative","protein_coding"
"336","PBANKA_142230","PBANKA_142230 FAD-dependent monooxygenase, putative","protein_coding"
"337","PBANKA_142240","PBANKA_142240 importin beta, putative","protein_coding"
"338","PBANKA_142250","PBANKA_142250 RAP protein, putative","protein_coding"
"339","PBANKA_142260","PBANKA_142260 selenoprotein, putative","protein_coding"
"340","PBANKA_142270","PBANKA_142270 superoxide dismutase [Fe], putative","protein_coding"
