"","ensembl_gene_id","external_gene_name","gene_biotype"
"67","ENSMUSG00000031983","2310022B05Rik","protein_coding"
"68","ENSMUSG00000022892","App","protein_coding"
"69","ENSMUSG00000030960","Eef1akmt2","protein_coding"
"70","ENSMUSG00000114437","4930415C11Rik","antisense"
"71","ENSMUSG00000114218","Gm47423","antisense"
"72","ENSMUSG00000048163","Selplg","protein_coding"
"73","ENSMUSG00000114448","C630044B11Rik","TEC"
"74","ENSMUSG00000114896","Gm34245","TEC"
"75","ENSMUSG00000028688","Toe1","protein_coding"
"76","ENSMUSG00000104350","Gm38244","TEC"
"77","ENSMUSG00000096695","Olfr196","protein_coding"
"78","ENSMUSG00000055254","Ntrk2","protein_coding"
"79","ENSMUSG00000022538","Lsg1","protein_coding"
"80","ENSMUSG00000037300","Ttc13","protein_coding"
"81","ENSMUSG00000028614","Ndc1","protein_coding"
"82","ENSMUSG00000085540","Gm16036","antisense"
"83","ENSMUSG00000084934","Gm16035","antisense"
"84","ENSMUSG00000105873","Gm43708","TEC"
"85","ENSMUSG00000083382","Gm6433","processed_pseudogene"
"86","ENSMUSG00000105344","Gm43556","TEC"
"87","ENSMUSG00000090062","Galnt6os","antisense"
"88","ENSMUSG00000105212","Gm43557","TEC"
"89","ENSMUSG00000041592","Sdk2","protein_coding"
"90","ENSMUSG00000037280","Galnt6","protein_coding"
"91","ENSMUSG00000108964","Gm18600","processed_pseudogene"
"92","ENSMUSG00000030946","Lhpp","protein_coding"
"93","ENSMUSG00000034210","Efcab14","protein_coding"
"94","ENSMUSG00000085407","1700095J03Rik","antisense"
"95","ENSMUSG00000081370","Gm9105","processed_pseudogene"
"96","ENSMUSG00000076581","Igkv8-26","IG_V_gene"
"97","ENSMUSG00000103811","Gm38004","lincRNA"
"98","ENSMUSG00000094222","Mup-ps6","transcribed_unprocessed_pseudogene"
"99","ENSMUSG00000084114","Gm8421","processed_pseudogene"
"100","ENSMUSG00000048806","Ifnb1","protein_coding"
"101","ENSMUSG00000086253","Gm13773","processed_transcript"
"102","ENSMUSG00000105727","Gm8828","processed_pseudogene"
"103","ENSMUSG00000030858","Fam24b","protein_coding"
"104","ENSMUSG00000003949","Hlf","protein_coding"
"105","ENSMUSG00000095896","Ifna14","protein_coding"
"106","ENSMUSG00000080964","Ifna-ps1","unprocessed_pseudogene"
"107","ENSMUSG00000096011","Ifna15","protein_coding"
"108","ENSMUSG00000027901","Dennd2d","protein_coding"
"109","ENSMUSG00000109555","Gm44891","TEC"
"110","ENSMUSG00000095270","Ifna9","protein_coding"
"111","ENSMUSG00000086733","Gm11685","lincRNA"
"112","ENSMUSG00000033985","Tesk2","protein_coding"
"113","ENSMUSG00000111042","Gm18252","transcribed_processed_pseudogene"
"114","ENSMUSG00000086193","Gm11508","antisense"
"115","ENSMUSG00000018379","Srsf1","protein_coding"
"116","ENSMUSG00000110935","Gm8834","processed_pseudogene"
"117","ENSMUSG00000020612","Prkar1a","protein_coding"
"118","ENSMUSG00000094930","Igkv6-25","IG_V_gene"
"119","ENSMUSG00000086573","Gm15384","antisense"
"120","ENSMUSG00000048100","Taf13","protein_coding"
"121","ENSMUSG00000086937","Gm15063","antisense"
"122","ENSMUSG00000034189","Hsdl1","protein_coding"
"123","ENSMUSG00000031202","Rab39b","protein_coding"
"124","ENSMUSG00000030004","Nat8","protein_coding"
"125","ENSMUSG00000040078","Ptges3-ps","processed_pseudogene"
"126","ENSMUSG00000033294","Noc4l","protein_coding"
"127","ENSMUSG00000033634","Nat8f2","protein_coding"
"128","ENSMUSG00000106784","Gm43309","processed_pseudogene"
"129","ENSMUSG00000027763","Mbnl1","protein_coding"
"130","ENSMUSG00000022841","Ap2m1","protein_coding"
"131","ENSMUSG00000107758","Gm19253","processed_pseudogene"
"132","ENSMUSG00000022935","Grik1","protein_coding"
"133","ENSMUSG00000031832","Taf1c","protein_coding"
"134","ENSMUSG00000086913","Gm14019","antisense"
"135","ENSMUSG00000083903","Gm5405","processed_pseudogene"
"136","ENSMUSG00000031555","Adam9","protein_coding"
"137","ENSMUSG00000108197","Gm44214","lincRNA"
"138","ENSMUSG00000028689","Ccdc163","protein_coding"
"139","ENSMUSG00000107727","Gm18010","processed_pseudogene"
"140","ENSMUSG00000029814","Igf2bp3","protein_coding"
"141","ENSMUSG00000094767","Gm8402","processed_pseudogene"
"142","ENSMUSG00000021102","Glrx5","protein_coding"
"143","ENSMUSG00000085450","Gm13686","antisense"
"144","ENSMUSG00000004846","Plod3","protein_coding"
"145","ENSMUSG00000085037","4933421O10Rik","processed_transcript"
"146","ENSMUSG00000060227","Casc4","protein_coding"
"147","ENSMUSG00000117890","AC116849.2","lincRNA"
"148","ENSMUSG00000109020","Olfr197","polymorphic_pseudogene"
"149","ENSMUSG00000027900","Dram2","protein_coding"
"150","ENSMUSG00000090273","Prr22","protein_coding"
"151","ENSMUSG00000117859","AC116849.1","processed_transcript"
"152","ENSMUSG00000102155","Gm37468","antisense"
"153","ENSMUSG00000095028","Sirpb1b","protein_coding"
"154","ENSMUSG00000035283","Adrb1","protein_coding"
"155","ENSMUSG00000052537","Olfr198","protein_coding"
"156","ENSMUSG00000113051","Gm47672","processed_pseudogene"
"157","ENSMUSG00000028277","Ube2j1","protein_coding"
"158","ENSMUSG00000117696","AC158549.1","lincRNA"
"159","ENSMUSG00000107990","Gm7890","processed_pseudogene"
"160","ENSMUSG00000060863","Tcl1b2","protein_coding"
"161","ENSMUSG00000029815","Malsu1","protein_coding"
"162","ENSMUSG00000019790","Stxbp5","protein_coding"
"163","ENSMUSG00000031831","Dnaaf1","protein_coding"
"164","ENSMUSG00000066554","Gm10167","processed_pseudogene"
"165","ENSMUSG00000107033","Gm43553","TEC"
"166","ENSMUSG00000029651","Mtus2","protein_coding"
"167","ENSMUSG00000094235","Mup-ps24","processed_pseudogene"
"168","ENSMUSG00000092009","Myh15","protein_coding"
"169","ENSMUSG00000078680","Mup10","protein_coding"
"170","ENSMUSG00000067063","Gm6990","processed_pseudogene"
"171","ENSMUSG00000081378","Rps13-ps4","processed_pseudogene"
"172","ENSMUSG00000048897","Zfp710","protein_coding"
"173","ENSMUSG00000018199","Trove2","protein_coding"
"174","ENSMUSG00000024266","Adad2","protein_coding"
"175","ENSMUSG00000059518","Znhit1","protein_coding"
"176","ENSMUSG00000021938","Pspc1","protein_coding"
"177","ENSMUSG00000105270","Gm42863","TEC"
"178","ENSMUSG00000094446","Gm6344","processed_pseudogene"
"179","ENSMUSG00000075552","Cyp3a41b","protein_coding"
"180","ENSMUSG00000025878","Uimc1","protein_coding"
"181","ENSMUSG00000045246","Kcng4","protein_coding"
"182","ENSMUSG00000087185","Gm13872","antisense"
"183","ENSMUSG00000001663","Gstt1","protein_coding"
"184","ENSMUSG00000106033","Gm43381","processed_pseudogene"
"185","ENSMUSG00000038533","Cbfa2t2","protein_coding"
"186","ENSMUSG00000105474","Selenok-ps7","processed_pseudogene"
"187","ENSMUSG00000105272","Gm43071","TEC"
"188","ENSMUSG00000083222","Gm12427","unprocessed_pseudogene"
"189","ENSMUSG00000005089","Slc1a2","protein_coding"
"190","ENSMUSG00000106592","Gm43070","unprocessed_pseudogene"
"191","ENSMUSG00000024206","Rfx2","protein_coding"
"192","ENSMUSG00000040774","Cept1","protein_coding"
"193","ENSMUSG00000110453","Gm32352","antisense"
"194","ENSMUSG00000023336","Wfdc1","protein_coding"
"195","ENSMUSG00000020713","Gh","protein_coding"
"196","ENSMUSG00000033326","Kdm4a","protein_coding"
"197","ENSMUSG00000082415","Gm12486","processed_pseudogene"
"198","ENSMUSG00000083546","Tpt1-ps1","processed_pseudogene"
"199","ENSMUSG00000081569","Gm12490","processed_pseudogene"
"200","ENSMUSG00000073976","1700026J12Rik","lincRNA"
"201","ENSMUSG00000031479","Vps36","protein_coding"
"202","ENSMUSG00000093577","Gm20632","antisense"
"203","ENSMUSG00000063954","Hist2h2aa2","protein_coding"
"204","ENSMUSG00000027863","Cd2","protein_coding"
"205","ENSMUSG00000035173","Ccdc186","protein_coding"
"206","ENSMUSG00000083310","Gm5760","processed_pseudogene"
"207","ENSMUSG00000092228","Vmn1r-ps28","unprocessed_pseudogene"
"208","ENSMUSG00000042554","Zp3r","protein_coding"
"209","ENSMUSG00000001558","Klhl10","protein_coding"
"210","ENSMUSG00000085371","Gm3160","processed_pseudogene"
"211","ENSMUSG00000111216","Gm47044","processed_pseudogene"
"212","ENSMUSG00000084945","C030037F17Rik","antisense"
"213","ENSMUSG00000031982","Arv1","protein_coding"
"214","ENSMUSG00000027366","Sppl2a","protein_coding"
"215","ENSMUSG00000004031","Brinp2","protein_coding"
"216","ENSMUSG00000076583","Igkv8-24","IG_V_gene"
"217","ENSMUSG00000082185","Gm12428","processed_pseudogene"
"218","ENSMUSG00000047495","Dlgap2","protein_coding"
"219","ENSMUSG00000078480","Mrpl48-ps","processed_pseudogene"
"220","ENSMUSG00000031217","Efnb1","protein_coding"
"221","ENSMUSG00000110837","Gm18729","processed_pseudogene"
"222","ENSMUSG00000091575","2010016I18Rik","processed_transcript"
"223","ENSMUSG00000028678","Kif2c","protein_coding"
"224","ENSMUSG00000043068","Fam89a","protein_coding"
"225","ENSMUSG00000020770","Unk","protein_coding"
"226","ENSMUSG00000114634","F830210D05Rik","TEC"
"227","ENSMUSG00000114461","Gm48155","lincRNA"
"228","ENSMUSG00000110666","Gm9172","processed_pseudogene"
"229","ENSMUSG00000081942","Gm15149","processed_pseudogene"
"230","ENSMUSG00000052221","Ppp1r36","protein_coding"
"231","ENSMUSG00000110550","Gm45856","processed_pseudogene"
"232","ENSMUSG00000102578","Gm10576","TEC"
"233","ENSMUSG00000030805","Stx4a","protein_coding"
"234","ENSMUSG00000073609","D2hgdh","protein_coding"
"235","ENSMUSG00000116996","Gm8128","processed_pseudogene"
"236","ENSMUSG00000008193","Spib","protein_coding"
"237","ENSMUSG00000116637","Gm8130","processed_pseudogene"
"238","ENSMUSG00000020317","Theg","protein_coding"
"239","ENSMUSG00000030316","Tamm41","protein_coding"
"240","ENSMUSG00000045378","Pxt1","protein_coding"
"241","ENSMUSG00000108655","Gm44949","antisense"
"242","ENSMUSG00000031984","2810004N23Rik","protein_coding"
"243","ENSMUSG00000108714","Gm21057","antisense"
"244","ENSMUSG00000082928","Gm12785","processed_pseudogene"
"245","ENSMUSG00000035275","Raver2","protein_coding"
"246","ENSMUSG00000108365","Gm44951","TEC"
"247","ENSMUSG00000068299","Nat8f4","protein_coding"
"248","ENSMUSG00000044248","Vmn1r45","protein_coding"
"249","ENSMUSG00000087693","Gm16191","antisense"
"250","ENSMUSG00000031985","Gnpat","protein_coding"
"251","ENSMUSG00000114932","Gm4936","processed_pseudogene"
"252","ENSMUSG00000097671","1700015O11Rik","lincRNA"
"253","ENSMUSG00000035842","Ddx11","protein_coding"
"254","ENSMUSG00000114372","2310067P03Rik","lincRNA"
"255","ENSMUSG00000048592","Gm5946","transcribed_processed_pseudogene"
"256","ENSMUSG00000114735","Gm48156","processed_pseudogene"
"257","ENSMUSG00000087360","Gm15104","lincRNA"
"258","ENSMUSG00000074996","Olfr199","protein_coding"
"259","ENSMUSG00000030806","Stx1b","protein_coding"
"260","ENSMUSG00000020897","Aurkb","protein_coding"
"261","ENSMUSG00000081625","Rps12-ps7","processed_pseudogene"
"262","ENSMUSG00000029094","Afap1","protein_coding"
"263","ENSMUSG00000090350","Gm17148","processed_pseudogene"
"264","ENSMUSG00000111753","1700054O05Rik","lincRNA"
"265","ENSMUSG00000020111","Micu1","protein_coding"
"266","ENSMUSG00000073811","Ifna12","protein_coding"
"267","ENSMUSG00000028530","Jak1","protein_coding"
"268","ENSMUSG00000053581","Zfand2a","protein_coding"
"269","ENSMUSG00000063953","Amd2","protein_coding"
"270","ENSMUSG00000107846","Gm43963","TEC"
"271","ENSMUSG00000107723","Gm43964","antisense"
"272","ENSMUSG00000000085","Scmh1","protein_coding"
"273","ENSMUSG00000060477","Irak2","protein_coding"
"274","ENSMUSG00000086443","4933421A08Rik","processed_transcript"
"275","ENSMUSG00000108808","Gm45204","TEC"
"276","ENSMUSG00000105432","Gm43218","IG_V_gene"
"277","ENSMUSG00000082089","Gm12431","unprocessed_pseudogene"
"278","ENSMUSG00000116039","Gm49483","processed_pseudogene"
"279","ENSMUSG00000083894","Gm11489","processed_pseudogene"
"280","ENSMUSG00000069196","Gm10161","processed_pseudogene"
"281","ENSMUSG00000083958","Gm12601","unprocessed_pseudogene"
"282","ENSMUSG00000010342","Tex14","protein_coding"
"283","ENSMUSG00000031584","Gsr","protein_coding"
"284","ENSMUSG00000082551","Gm15065","processed_pseudogene"
"285","ENSMUSG00000040592","Cd79b","protein_coding"
"286","ENSMUSG00000111550","Gm49446","lincRNA"
"287","ENSMUSG00000110865","Gm47046","processed_pseudogene"
"288","ENSMUSG00000023009","Nckap5l","protein_coding"
"289","ENSMUSG00000070392","Gm20634","processed_transcript"
"290","ENSMUSG00000093553","Gm20633","antisense"
"291","ENSMUSG00000038330","C87499","protein_coding"
"292","ENSMUSG00000116542","Gm17783","protein_coding"
"293","ENSMUSG00000064220","Hist2h2aa1","protein_coding"
"294","ENSMUSG00000082589","Gm12433","processed_pseudogene"
"295","ENSMUSG00000093769","Hist2h3c1","protein_coding"
"296","ENSMUSG00000083577","Gm12432","processed_pseudogene"
"297","ENSMUSG00000089630","Gm6903","processed_pseudogene"
"298","ENSMUSG00000027871","Hsd3b1","protein_coding"
"299","ENSMUSG00000031227","Magee1","protein_coding"
"300","ENSMUSG00000033436","Armcx2","protein_coding"
"301","ENSMUSG00000089968","Nckap5los","antisense"
"302","ENSMUSG00000086442","Gm11722","sense_intronic"
"303","ENSMUSG00000108590","Gm44962","processed_pseudogene"
"304","ENSMUSG00000090118","Gm16163","processed_transcript"
"305","ENSMUSG00000020720","Psmd12","protein_coding"
"306","ENSMUSG00000036913","Trim67","protein_coding"
"307","ENSMUSG00000082692","H2af-ps","processed_pseudogene"
"308","ENSMUSG00000073006","Gm732","protein_coding"
"309","ENSMUSG00000042268","Slc26a9","protein_coding"
"310","ENSMUSG00000049493","Pls1","protein_coding"
"311","ENSMUSG00000117116","CT025867.2","processed_pseudogene"
"312","ENSMUSG00000081996","Gm7153","processed_pseudogene"
"313","ENSMUSG00000087396","4933407K13Rik","processed_transcript"
"314","ENSMUSG00000022471","Xrcc6","protein_coding"
"315","ENSMUSG00000067377","Tspan6","protein_coding"
"316","ENSMUSG00000073000","Gm10451","lincRNA"
"317","ENSMUSG00000037007","Zfp113","protein_coding"
"318","ENSMUSG00000090458","Gm17122","antisense"
"319","ENSMUSG00000052854","Nrk","protein_coding"
"320","ENSMUSG00000004530","Coro1c","protein_coding"
"321","ENSMUSG00000104125","Gm37488","TEC"
"322","ENSMUSG00000104235","Gm37589","TEC"
"323","ENSMUSG00000110408","Gm45881","lincRNA"
"324","ENSMUSG00000031155","Pim2","protein_coding"
"325","ENSMUSG00000095630","Igkv6-23","IG_V_gene"
"326","ENSMUSG00000074030","Exoc8","protein_coding"
"327","ENSMUSG00000015217","Hmgb3","protein_coding"
"328","ENSMUSG00000110987","Gm47048","processed_pseudogene"
"329","ENSMUSG00000028654","Mycl","protein_coding"
"330","ENSMUSG00000048732","Klhl11","protein_coding"
"331","ENSMUSG00000031986","Sprtn","protein_coding"
"332","ENSMUSG00000032443","Zcwpw2","transcribed_unprocessed_pseudogene"
"333","ENSMUSG00000067194","Eif1ax","protein_coding"
"334","ENSMUSG00000086954","4930583P06Rik","lincRNA"
"335","ENSMUSG00000085496","4930517E11Rik","lincRNA"
"336","ENSMUSG00000085053","Gm14809","lincRNA"
"337","ENSMUSG00000073051","Gm14812","lincRNA"
"338","ENSMUSG00000110706","Gm45709","antisense"
"339","ENSMUSG00000027200","Sema6d","protein_coding"
"340","ENSMUSG00000097240","Gm26614","lincRNA"
"341","ENSMUSG00000031133","Arhgef6","protein_coding"
"342","ENSMUSG00000031987","Egln1","protein_coding"
"343","ENSMUSG00000024207","Acsbg2","protein_coding"
"344","ENSMUSG00000061653","Vmn1r46","protein_coding"
"345","ENSMUSG00000110731","Gm47049","lincRNA"
"346","ENSMUSG00000060260","Pwwp2b","protein_coding"
"347","ENSMUSG00000106080","Gm8836","processed_pseudogene"
"348","ENSMUSG00000085860","2410003L11Rik","processed_transcript"
"349","ENSMUSG00000027380","Acoxl","protein_coding"
"350","ENSMUSG00000105668","Igkv8-22","IG_V_pseudogene"
"351","ENSMUSG00000022875","Kng1","protein_coding"
"352","ENSMUSG00000117080","CT025867.1","bidirectional_promoter_lncRNA"
"353","ENSMUSG00000110683","Gm45874","processed_pseudogene"
"354","ENSMUSG00000056820","Tsnax","protein_coding"
"355","ENSMUSG00000005936","Kctd20","protein_coding"
"356","ENSMUSG00000001157","Gmcl1","protein_coding"
"357","ENSMUSG00000044499","Hs3st5","protein_coding"
"358","ENSMUSG00000045912","C2cd4c","protein_coding"
"359","ENSMUSG00000034401","Spata6","protein_coding"
"360","ENSMUSG00000105071","Gm43336","TEC"
"361","ENSMUSG00000106623","Gm43335","TEC"
"362","ENSMUSG00000107047","Gm43298","lincRNA"
"363","ENSMUSG00000106692","Gm36447","lincRNA"
"364","ENSMUSG00000109608","Gm45597","TEC"
"365","ENSMUSG00000058325","Dock1","protein_coding"
"366","ENSMUSG00000112130","Gm47839","lincRNA"
"367","ENSMUSG00000009681","Bcr","protein_coding"
"368","ENSMUSG00000108542","Gm44834","TEC"
"369","ENSMUSG00000112542","Gm47840","TEC"
"370","ENSMUSG00000108557","Gm44835","TEC"
"371","ENSMUSG00000043051","Disc1","protein_coding"
"372","ENSMUSG00000112283","Gm36719","lincRNA"
"373","ENSMUSG00000111977","Gm47163","bidirectional_promoter_lncRNA"
"374","ENSMUSG00000040389","Wdr47","protein_coding"
"375","ENSMUSG00000108560","Gm44695","TEC"
"376","ENSMUSG00000084033","Gm7645","processed_pseudogene"
"377","ENSMUSG00000020312","Shc2","protein_coding"
"378","ENSMUSG00000085335","Gm13684","processed_transcript"
"379","ENSMUSG00000108633","Gm44694","TEC"
"380","ENSMUSG00000027087","Itgav","protein_coding"
"381","ENSMUSG00000066406","Akap13","protein_coding"
"382","ENSMUSG00000020102","Slc16a7","protein_coding"
"383","ENSMUSG00000004980","Hnrnpa2b1","protein_coding"
"384","ENSMUSG00000018634","Crhr1","protein_coding"
"385","ENSMUSG00000022472","Desi1","protein_coding"
"386","ENSMUSG00000058488","Kl","protein_coding"
"387","ENSMUSG00000081499","Gm12517","processed_pseudogene"
"388","ENSMUSG00000028876","Epha10","protein_coding"
"389","ENSMUSG00000105872","Gm9515","unprocessed_pseudogene"
"390","ENSMUSG00000022797","Tfrc","protein_coding"
"391","ENSMUSG00000110115","Gm32486","lincRNA"
"392","ENSMUSG00000034932","Mrpl54","protein_coding"
"393","ENSMUSG00000116965","Gm36742","lincRNA"
"394","ENSMUSG00000028653","Trit1","protein_coding"
"395","ENSMUSG00000066359","Tcl1b1","protein_coding"
"396","ENSMUSG00000103594","A430034D21Rik","lincRNA"
"397","ENSMUSG00000085263","1700125G02Rik","antisense"
"398","ENSMUSG00000116573","Gm36903","lincRNA"
"399","ENSMUSG00000098070","Gm8609","processed_pseudogene"
"400","ENSMUSG00000102941","Gm37552","lincRNA"
"401","ENSMUSG00000083437","Gm15187","processed_pseudogene"
"402","ENSMUSG00000111231","Gm47054","TEC"
"403","ENSMUSG00000038370","Pcp4l1","protein_coding"
"404","ENSMUSG00000000701","Tcl1b5","protein_coding"
"405","ENSMUSG00000086694","Gm16237","antisense"
"406","ENSMUSG00000043439","Epop","protein_coding"
"407","ENSMUSG00000033210","Slc9c1","protein_coding"
"408","ENSMUSG00000076586","Igkv8-21","IG_V_gene"
"409","ENSMUSG00000080994","Gm13464","processed_pseudogene"
"410","ENSMUSG00000097433","Gm26781","antisense"
"411","ENSMUSG00000058176","Gm5407","processed_pseudogene"
"412","ENSMUSG00000022913","Psmg1","protein_coding"
"413","ENSMUSG00000026708","Cenpl","protein_coding"
"414","ENSMUSG00000001995","Sipa1l2","protein_coding"
"415","ENSMUSG00000052759","Gpr25","protein_coding"
"416","ENSMUSG00000116700","Gm18694","processed_pseudogene"
"417","ENSMUSG00000109803","Gm45604","antisense"
"418","ENSMUSG00000085586","Gm11613","processed_transcript"
"419","ENSMUSG00000041570","Camsap2","protein_coding"
"420","ENSMUSG00000111943","Gm47862","TEC"
"421","ENSMUSG00000114299","Gm47791","protein_coding"
"422","ENSMUSG00000105114","Amd-ps5","processed_pseudogene"
"423","ENSMUSG00000031429","Psmd10","protein_coding"
"424","ENSMUSG00000076587","Igkv6-20","IG_V_gene"
"425","ENSMUSG00000027581","Stmn3","protein_coding"
"426","ENSMUSG00000063820","Arl9","protein_coding"
"427","ENSMUSG00000086550","Pla2g10os","antisense"
"428","ENSMUSG00000115907","Gm49432","lincRNA"
"429","ENSMUSG00000022683","Pla2g10","protein_coding"
"430","ENSMUSG00000091193","Gm17333","lincRNA"
"431","ENSMUSG00000086632","1700112J05Rik","lincRNA"
"432","ENSMUSG00000029248","Thegl","protein_coding"
"433","ENSMUSG00000031635","Anxa10","protein_coding"
"434","ENSMUSG00000038437","Mllt6","protein_coding"
"435","ENSMUSG00000099771","Gm19257","processed_pseudogene"
"436","ENSMUSG00000102280","Gm36999","TEC"
"437","ENSMUSG00000082851","Gm11931","processed_pseudogene"
"438","ENSMUSG00000100170","Gm28942","lincRNA"
"439","ENSMUSG00000030877","Mfsd13b","protein_coding"
"440","ENSMUSG00000100744","Gm17764","processed_pseudogene"
"441","ENSMUSG00000109560","Gm8463","processed_pseudogene"
"442","ENSMUSG00000110711","Gm45760","TEC"
"443","ENSMUSG00000031672","Got2","protein_coding"
"444","ENSMUSG00000029504","Ddx51","protein_coding"
"445","ENSMUSG00000044881","Coa4","protein_coding"
"446","ENSMUSG00000025477","Inpp5a","protein_coding"
"447","ENSMUSG00000037514","Pank2","protein_coding"
"448","ENSMUSG00000068940","Tcl1b3","protein_coding"
"449","ENSMUSG00000009093","Gstt4","protein_coding"
"450","ENSMUSG00000079007","Tcl1b4","protein_coding"
"451","ENSMUSG00000022682","Rrn3","protein_coding"
"452","ENSMUSG00000072381","Gm10355","processed_pseudogene"
"453","ENSMUSG00000082245","Gm6292","processed_pseudogene"
"454","ENSMUSG00000116948","Gm4802","processed_pseudogene"
"455","ENSMUSG00000083889","E530001F21Rik","processed_pseudogene"
"456","ENSMUSG00000093507","Gm20627","processed_transcript"
"457","ENSMUSG00000106316","Gm43467","processed_pseudogene"
"458","ENSMUSG00000037202","Prf1","protein_coding"
"459","ENSMUSG00000097959","Gm6931","processed_pseudogene"
"460","ENSMUSG00000091405","Hist2h4","protein_coding"
"461","ENSMUSG00000112100","Gm9102","processed_pseudogene"
"462","ENSMUSG00000027870","Hao2","protein_coding"
"463","ENSMUSG00000103940","Gm38227","TEC"
"464","ENSMUSG00000110506","Gm8637","processed_pseudogene"
"465","ENSMUSG00000081801","Dnmt3l-ps1","processed_pseudogene"
"466","ENSMUSG00000110629","4930567H12Rik","lincRNA"
"467","ENSMUSG00000085791","Rpl30-ps9","processed_pseudogene"
"468","ENSMUSG00000110634","Gm45895","lincRNA"
"469","ENSMUSG00000104639","Gm42939","sense_intronic"
"470","ENSMUSG00000110623","Gm32005","lincRNA"
"471","ENSMUSG00000091184","Gm17059","antisense"
"472","ENSMUSG00000086996","4933416E14Rik","transcribed_processed_pseudogene"
"473","ENSMUSG00000083744","Gm14824","processed_pseudogene"
"474","ENSMUSG00000109123","Gm39059","lincRNA"
"475","ENSMUSG00000106137","Gm42538","antisense"
"476","ENSMUSG00000091941","Gm7399","processed_pseudogene"
"477","ENSMUSG00000023267","Gabrr2","protein_coding"
